”NŒŽ“ú,•½‹Ï‰_—Ê(10•ª”ä)
2018/1/1,10
2018/1/2,8.5
2018/1/3,7.8
2018/1/4,10
2018/1/5,10
2018/1/6,9.8
2018/1/7,9.5
2018/1/8,9.8
2018/1/9,10
2018/1/10,9.5
2018/1/11,10
2018/1/12,9.5
2018/1/13,10
2018/1/14,9.8
2018/1/15,8
2018/1/16,8.5
2018/1/17,10
2018/1/18,10
2018/1/19,9
2018/1/20,5.3
2018/1/21,8.5
2018/1/22,8.3
2018/1/23,10
2018/1/24,10
2018/1/25,10
2018/1/26,10
2018/1/27,10
2018/1/28,10
2018/1/29,9.5
2018/1/30,10
2018/1/31,9.8
2018/2/1,5
2018/2/2,1.5
2018/2/3,8
2018/2/4,9.5
2018/2/5,9
2018/2/6,10
2018/2/7,10
2018/2/8,8.5
2018/2/9,9
2018/2/10,10
2018/2/11,10
2018/2/12,10
2018/2/13,10
2018/2/14,10
2018/2/15,10
2018/2/16,10
2018/2/17,10
2018/2/18,9.8
2018/2/19,10
2018/2/20,10
2018/2/21,9
2018/2/22,6.5
2018/2/23,8
2018/2/24,9.5
2018/2/25,10
2018/2/26,7.8
2018/2/27,10
2018/2/28,8.5
2018/3/1,10
2018/3/2,10
2018/3/3,5
2018/3/4,8
2018/3/5,10
2018/3/6,8.5
2018/3/7,10
2018/3/8,10
2018/3/9,10
2018/3/10,10
2018/3/11,9.3
2018/3/12,9.8
2018/3/13,9.5
2018/3/14,9.3
2018/3/15,6.8
2018/3/16,9.8
2018/3/17,7.5
2018/3/18,8.8
2018/3/19,9.5
2018/3/20,6.5
2018/3/21,7.5
2018/3/22,10
2018/3/23,9.3
2018/3/24,6.5
2018/3/25,6.5
2018/3/26,5.5
2018/3/27,0.3
2018/3/28,3.5
2018/3/29,8.3
2018/3/30,1
2018/3/31,5.8
2018/4/1,10
2018/4/2,7.8
2018/4/3,10
2018/4/4,9.8
2018/4/5,8
2018/4/6,10
2018/4/7,10
2018/4/8,10
2018/4/9,9.8
2018/4/10,4.8
2018/4/11,7.5
2018/4/12,8
2018/4/13,9.3
2018/4/14,10
2018/4/15,10
2018/4/16,9.8
2018/4/17,8.8
2018/4/18,10
2018/4/19,9.3
2018/4/20,6.8
2018/4/21,2.8
2018/4/22,7
2018/4/23,10
2018/4/24,10
2018/4/25,10
2018/4/26,7.3
2018/4/27,10
2018/4/28,0
2018/4/29,0
2018/4/30,5.5
2018/5/1,6.8
2018/5/2,10
2018/5/3,9.5
2018/5/4,10
2018/5/5,7.3
2018/5/6,10
2018/5/7,10
2018/5/8,8
2018/5/9,10
2018/5/10,10
2018/5/11,9.3
2018/5/12,10
2018/5/13,10
2018/5/14,10
2018/5/15,8.3
2018/5/16,4
2018/5/17,10
2018/5/18,10
2018/5/19,10
2018/5/20,3.3
2018/5/21,8.5
2018/5/22,5.8
2018/5/23,9.3
2018/5/24,7.8
2018/5/25,7.5
2018/5/26,2.8
2018/5/27,8.5
2018/5/28,5
2018/5/29,4.8
2018/5/30,10
2018/5/31,10
2018/6/1,10
2018/6/2,5
2018/6/3,0
2018/6/4,2.5
2018/6/5,8.8
2018/6/6,10
2018/6/7,5.8
2018/6/8,10
2018/6/9,7.3
2018/6/10,9.3
2018/6/11,9.3
2018/6/12,10
2018/6/13,10
2018/6/14,9.8
2018/6/15,8.8
2018/6/16,9.5
2018/6/17,7.5
2018/6/18,8.3
2018/6/19,5.5
2018/6/20,10
2018/6/21,8.5
2018/6/22,6
2018/6/23,7.5
2018/6/24,7.3
2018/6/25,7.5
2018/6/26,8.8
2018/6/27,10
2018/6/28,10
2018/6/29,9.8
2018/6/30,10
2018/7/1,9.5
2018/7/2,6.5
2018/7/3,8.3
2018/7/4,10
2018/7/5,10
2018/7/6,10
2018/7/7,10
2018/7/8,9.3
2018/7/9,8.5
2018/7/10,9.8
2018/7/11,10
2018/7/12,10
2018/7/13,10
2018/7/14,7
2018/7/15,6.5
2018/7/16,10
2018/7/17,10
2018/7/18,9.3
2018/7/19,6
2018/7/20,7
2018/7/21,8.3
2018/7/22,9.5
2018/7/23,10
2018/7/24,5
2018/7/25,6
2018/7/26,8
2018/7/27,2.8
2018/7/28,7.5
2018/7/29,6
2018/7/30,1.3
2018/7/31,3
2018/8/1,7
2018/8/2,4.8
2018/8/3,0.8
2018/8/4,8.5
2018/8/5,10
2018/8/6,10
2018/8/7,6.8
2018/8/8,5
2018/8/9,7
2018/8/10,8.3
2018/8/11,7.5
2018/8/12,9
2018/8/13,7.3
2018/8/14,6.3
2018/8/15,10
2018/8/16,10
2018/8/17,8
2018/8/18,6.8
