”NŒŽ“ú,•½‹Ï‰_—Ê(10•ª”ä)
2018/1/1,4.8
2018/1/2,1.8
2018/1/3,4
2018/1/4,3.8
2018/1/5,9.8
2018/1/6,7.3
2018/1/7,10
2018/1/8,10
2018/1/9,10
2018/1/10,8
2018/1/11,5.3
2018/1/12,2.5
2018/1/13,4
2018/1/14,5.5
2018/1/15,3
2018/1/16,5.8
2018/1/17,9.3
2018/1/18,7.3
2018/1/19,5.3
2018/1/20,5.5
2018/1/21,8.5
2018/1/22,9.8
2018/1/23,6.5
2018/1/24,6
2018/1/25,5
2018/1/26,6.8
2018/1/27,2.5
2018/1/28,10
2018/1/29,6.5
2018/1/30,4.5
2018/1/31,7.3
2018/2/1,8.8
2018/2/2,8
2018/2/3,9.3
2018/2/4,6.5
2018/2/5,6.3
2018/2/6,5.5
2018/2/7,1.3
2018/2/8,2
2018/2/9,5
2018/2/10,10
2018/2/11,3.8
2018/2/12,8
2018/2/13,5.3
2018/2/14,3
2018/2/15,8.8
2018/2/16,10
2018/2/17,3
2018/2/18,6.5
2018/2/19,10
2018/2/20,3.3
2018/2/21,10
2018/2/22,10
2018/2/23,3
2018/2/24,4
2018/2/25,10
2018/2/26,5.3
2018/2/27,6
2018/2/28,8
2018/3/1,2.5
2018/3/2,1.8
2018/3/3,6.5
2018/3/4,3
2018/3/5,10
2018/3/6,3.5
2018/3/7,8.5
2018/3/8,10
2018/3/9,9.3
2018/3/10,1.5
2018/3/11,0.5
2018/3/12,5.8
2018/3/13,2.8
2018/3/14,0
2018/3/15,5.3
2018/3/16,8.8
2018/3/17,3.3
2018/3/18,7.3
2018/3/19,10
2018/3/20,10
2018/3/21,10
2018/3/22,7.5
2018/3/23,0.8
2018/3/24,2
2018/3/25,0
2018/3/26,5.5
2018/3/27,3.8
2018/3/28,0
2018/3/29,1.5
2018/3/30,2.5
2018/3/31,0
2018/4/1,6
2018/4/2,0
2018/4/3,0.8
2018/4/4,5.8
2018/4/5,10
2018/4/6,8.5
2018/4/7,8.5
2018/4/8,1.3
2018/4/9,8
2018/4/10,4
2018/4/11,10
2018/4/12,8.3
2018/4/13,3.3
2018/4/14,10
2018/4/15,9
2018/4/16,5.8
2018/4/17,10
2018/4/18,2.5
2018/4/19,0
2018/4/20,0
2018/4/21,0
2018/4/22,5.8
2018/4/23,7.8
2018/4/24,10
2018/4/25,8.5
2018/4/26,9.5
2018/4/27,7.3
2018/4/28,0
2018/4/29,1.3
2018/4/30,4.5
2018/5/1,7.5
2018/5/2,10
2018/5/3,7.3
2018/5/4,2.8
2018/5/5,5
2018/5/6,8.8
2018/5/7,10
2018/5/8,10
2018/5/9,4.8
2018/5/10,4
2018/5/11,5.8
2018/5/12,7.5
2018/5/13,10
2018/5/14,1.8
2018/5/15,7
2018/5/16,10
2018/5/17,8.8
2018/5/18,9.5
2018/5/19,8
2018/5/20,6.3
2018/5/21,5
2018/5/22,7
2018/5/23,10
2018/5/24,3.3
2018/5/25,9.8
2018/5/26,6.5
2018/5/27,5.5
2018/5/28,10
2018/5/29,10
2018/5/30,10
2018/5/31,10
2018/6/1,2
2018/6/2,0.3
2018/6/3,7.3
2018/6/4,5.5
2018/6/5,9.5
2018/6/6,10
2018/6/7,8.8
2018/6/8,10
2018/6/9,9
2018/6/10,10
2018/6/11,10
2018/6/12,7.8
2018/6/13,4.5
2018/6/14,8.5
2018/6/15,10
2018/6/16,5.3
2018/6/17,7.5
2018/6/18,10
2018/6/19,10
2018/6/20,10
2018/6/21,8.5
2018/6/22,7.8
2018/6/23,10
2018/6/24,8.3
2018/6/25,4.3
2018/6/26,9.5
2018/6/27,9.8
2018/6/28,10
2018/6/29,10
2018/6/30,10
2018/7/1,8
2018/7/2,7.5
2018/7/3,10
2018/7/4,9
2018/7/5,10
2018/7/6,10
2018/7/7,10
2018/7/8,9.3
2018/7/9,8
2018/7/10,5.5
2018/7/11,10
2018/7/12,10
2018/7/13,9
2018/7/14,3.8
2018/7/15,0.3
2018/7/16,2
2018/7/17,7.8
2018/7/18,8
2018/7/19,1
2018/7/20,1
2018/7/21,2
2018/7/22,2.3
2018/7/23,2.8
2018/7/24,6.8
2018/7/25,5.5
2018/7/26,9.3
2018/7/27,7.5
2018/7/28,10
2018/7/29,7.3
2018/7/30,6.8
2018/7/31,1.5
2018/8/1,3
2018/8/2,1.5
2018/8/3,4.5
2018/8/4,0.5
2018/8/5,2.3
2018/8/6,4.3
2018/8/7,6
2018/8/8,3.3
2018/8/9,10
2018/8/10,8.5
2018/8/11,6.8
2018/8/12,8.3
2018/8/13,8
2018/8/14,7.8
2018/8/15,9
2018/8/16,10
2018/8/17,4
2018/8/18,6
2018/8/19,5.5
2018/8/20,8
2018/8/21,5.8
2018/8/22,6
2018/8/23,9.3
2018/8/24,8.3
2018/8/25,4.8
2018/8/26,1.8
2018/8/27,3.8
2018/8/28,7.8
2018/8/29,1
2018/8/30,5.8
2018/8/31,5
2018/9/1,10
2018/9/2,6.8
2018/9/3,4.5
2018/9/4,9
2018/9/5,4.5
2018/9/6,8.8
2018/9/7,10
2018/9/8,10
2018/9/9,10
2018/9/10,9.5
2018/9/11,9
2018/9/12,10
2018/9/13,10
2018/9/14,10
2018/9/15,10
2018/9/16,6.8
2018/9/17,7.3
2018/9/18,3.8
2018/9/19,8.5
2018/9/20,10
2018/9/21,10
2018/9/22,7.5
2018/9/23,7.5
2018/9/24,10
2018/9/25,10
2018/9/26,10
2018/9/27,7.8
2018/9/28,0.8
2018/9/29,10
2018/9/30,10
2018/10/1,3.5
2018/10/2,8
2018/10/3,5.3
2018/10/4,10
2018/10/5,10
2018/10/6,6.3
2018/10/7,8.5
2018/10/8,5.5
2018/10/9,7
2018/10/10,10
2018/10/11,10
2018/10/12,9.8
2018/10/13,2
2018/10/14,5.8
2018/10/15,8
2018/10/16,10
2018/10/17,9.3
2018/10/18,2.5
2018/10/19,4
2018/10/20,4.8
2018/10/21,0
2018/10/22,5
2018/10/23,10
2018/10/24,4
2018/10/25,0
2018/10/26,5
2018/10/27,8.3
2018/10/28,3.8
2018/10/29,2.3
2018/10/30,6.5
2018/10/31,10
2018/11/1,4
2018/11/2,8
2018/11/3,1.8
2018/11/4,4.3
2018/11/5,6
2018/11/6,5.5
2018/11/7,2
2018/11/8,8.3
2018/11/9,6.5
2018/11/10,2.8
2018/11/11,4.5
2018/11/12,10
2018/11/13,9
2018/11/14,5.5
2018/11/15,2.5
2018/11/16,6.8
2018/11/17,9.3
2018/11/18,5.8
2018/11/19,8.8
2018/11/20,4.5
2018/11/21,10
2018/11/22,7.8
2018/11/23,5.3
2018/11/24,1.3
2018/11/25,4.3
2018/11/26,8.5
2018/11/27,10
2018/11/28,8.5
2018/11/29,0.5
2018/11/30,1.8
2018/12/1,9.5
2018/12/2,5.8
2018/12/3,10
2018/12/4,9.5
2018/12/5,10
2018/12/6,10
2018/12/7,10
2018/12/8,8
2018/12/9,9.5
2018/12/10,7
2018/12/11,8.5
2018/12/12,8.3
2018/12/13,4.8
2018/12/14,5.3
2018/12/15,4.5
2018/12/16,5.8
2018/12/17,9.8
2018/12/18,6.5
2018/12/19,3.8
2018/12/20,10
2018/12/21,8
2018/12/22,10
2018/12/23,7.8
2018/12/24,4.5
2018/12/25,3.5
2018/12/26,10
2018/12/27,5.3
2018/12/28,5.8
2018/12/29,2
2018/12/30,4
2018/12/31,7.3
